frequency,callsign,city,state,power,lat,lon,height,slogan,owner,format,mlb,nfl,nba,nhl,market,rank,npr
88.9,W205CX,CARO,MI,0.013,43.323055555555555,83.37694444444443,58.0,CSN INTERNATIONAL,"CSN International, Inc.",Religious Teaching,,,,,,,False
98.7,W254DY,POWERS,MI,0.099,45.65316388888889,87.52327222222222,30.7,WISCONSIN'S RADIO VOICE OF THE MASTER,"WRVM, INC.",Religious Teaching,,,,,,,False
95.1,W236DZ,BIG RAPIDS,MI,0.25,43.663888888888884,85.482,101.0,SMILE FM,"MENTOR PARTNERS, INC.",Contemporary Christian,,,,,,,False
99.1,W256EE,ESCANABA,MI,0.25,45.92916666666667,87.26972222222223,83.8,KX COUNTRY,"906 Delta, LLC",Country,,Lions,,,,,False
107.9,W300EJ,BENTON HARBOR,MI,0.25,42.08522222222223,86.44444444444444,58.0,107.9 THE LAKE,"WSJM, INC.",Classic Rock,,,,,,,False
89.5,WDRK,Laurium,MI,1.0,47.25361111111111,88.43333333333334,27.0,,Full Potential Ministry,,,,,,,,False
89.1,WDRZ,Shelby,MI,0.45,43.67611111111111,86.2388888888889,134.0,BRIDGE 96.7,Full Potential Ministry,Easy Listening,,,,,,,False
88.7,WFNT,Adrian,MI,0.5,41.904777777777774,84.07805555555555,54.0,,Smile FM,,,,,,,,False
88.7,WGNP,PORT SANILAC,MI,0.25,43.42472222222222,82.66555555555556,33.0,,,,,,,,,,False
90.3,WGTM,MANISTIQUE,MI,1.0,45.96797222222222,86.24533333333333,18.0,,,,,,,,,,False
96.3,WHBS,HOUGHTON,MI,37.0,47.03638888888889,88.69527777777778,68.0,96.3 HOUGHTON’S BREEZE,,Adult Contemporary,,,,,,,False
88.9,WHFJ,HOUGHTON,MI,2.0,47.03638888888889,88.69527777777778,34.0,,,,,,,,,,False
95.1,WHMU-LP,Holland,MI,0.1,42.785555555555554,86.10666666666665,20.0,RADIO ONDAS DE AMOR,Ministerio Ondas de Amor,Religious,,,,,,,False
88.9,WHSI,Litchfield,MI,1.0,41.894888888888886,84.66480555555556,91.0,SMILE FM MICHIGAN'S POSITIVE HITS,Smile FM,Classical,,,,,,,False
88.7,WHSR,OWOSSO,MI,10.0,43.06927777777778,84.06269444444445,52.0,STRONG TOWER RADIO,,Religious,,,,,,,False
88.5,WHWM,ROCKLAND,MI,0.9,46.69972222222222,89.23166666666667,49.0,WITNESSING HIS WONDERFUL LOVE,"Gospel Opportunities, Inc.",Religious Teaching,,,,,,,False
89.3,WHWT,IRONWOOD,MI,0.5,46.479111111111116,90.14766666666668,17.0,WITNESSING HIS WONDERFUL LOVE,"Gospel Opportunities, Inc.",Religious Teaching,,,,,,,False
89.9,WJCG,GREENVILLE,MI,15.0,43.210861111111114,85.26641666666667,86.0,STRONG TOWER RADIO,,Religious Teaching,,,,,,,False
106.3,WJML,THOMPSONVILLE,MI,2.2,44.63527777777778,85.76488888888889,133.0,WINE COUNTRY R./THE GRATEFUL DEAD STATION,MITTEN NEWS LLC,Variety,,,,,,,False
102.5,WKMH,HUDSON,MI,6.0,41.88419444444445,84.52327777777778,73.0,K-LOVE,Educational Media Foundation,Contemporary Christian,,,,,,,False
89.1,WLWP,BRIDGMAN,MI,2.0,41.990027777777776,86.52980555555555,90.0,STRONG TOWER RADIO,,Religious Teaching,,,,,,,False
88.5,WMPC-FM,Davison,MI,1.0,42.99227777777778,83.46202777777778,28.0,,THE CALVARY BIBLE CHURCH OF LAPEER,Religious Teaching,,,,,,,False
98.9,WNFH,VASSAR,MI,3.0,43.29891666666666,83.50938888888889,100.0,HOPE FM,"WONDERFUL NEWS RADIO, INC.",Contemporary Christian,,,,,,,False
89.7,WPHO,Burtchville,MI,0.23,43.06888888888889,82.48,87.0,SMILE FM,Smile FM,Contemporary Christian,,,,,,,False
97.5,WRRA-FM,BRIDGMAN,MI,3.8,41.99005555555556,86.52974999999999,124.0,QUALITY ROCK THE LAKE,WSJM INC,Classic Rock,,,,,,,False
91.7,WSHG,SOUTH HAVEN,MI,0.15,42.40230555555556,86.258,30.0,STRONG TOWER RADIO,,Religious Teaching,,,,,,,False
